"data_as_of","start_date","end_date","sex","age_years","total_deaths","covid19_deaths"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","54 Years","32922","4565"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","55 Years","36726","4954"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","56 Years","40964","5663"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","57 Years","43936","5824"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","58 Years","47665","6156"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","59 Years","51383","6987"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","60 Years","55322","7358"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","61 Years","58379","7770"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","62 Years","61238","8313"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","63 Years","64914","8755"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","64 Years","66751","8905"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","65 Years","68037","9365"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","66 Years","69819","9565"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","67 Years","70678","9566"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","68 Years","72190","10019"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","69 Years","73098","10330"
"2021-12-08T00:00:00.000","2020-01-01T00:00:00.000","2021-12-04T00:00:00.000","Male","70 Years","75326","10785"
